Occupation code,Occupation title (click on the occupation title to view its profile),Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE,,,
37-2000,Building Cleaning and Pest Control Workers,minor,3171520,0.003,21.913,12.17,13.56,28200,0.002,,,
37-2010,Building Cleaning Workers,broad,3094210,0.004,21.379,12.1,13.44,27960,0.002,,,
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detail,2156270,0.005,14.898,12.55,13.92,28950,0.003,,,
37-2012,Maids and Housekeeping Cleaners,detail,924290,0.008,6.386,11.43,12.3,25570,0.003,,,
37-2019,"Building Cleaning Workers, All Other",detail,13650,0.113,0.094,14.07,15.73,32710,0.031,,,
37-2021,Pest Control Workers,detail,77300,0.017,0.534,17.12,18.24,37950,0.011,,,
37-3010,Grounds Maintenance Workers,broad,994880,0.005,6.874,14.13,15.19,31600,0.003,,,
37-3011,Landscaping and Groundskeeping Workers,detail,913480,0.006,6.311,13.94,14.88,30940,0.003,,,
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detail,24500,0.046,0.169,16.98,18.37,38210,0.018,,,
37-3013,Tree Trimmers and Pruners,detail,42440,0.053,0.293,18.36,19.47,40510,0.014,,,
37-3019,"Grounds Maintenance Workers, All Other",detail,14470,0.058,0.1,14.63,17.17,35710,0.021,,,
39-0000,Personal Care and Service Occupations,major,5451330,0.004,37.665,11.74,13.51,28090,0.002,,,
39-1000,Supervisors of Personal Care and Service Workers,minor,258960,0.009,1.789,18.92,20.53,42710,0.004,,,
39-1010,First-Line Supervisors of Gaming Workers,broad,30330,0.025,0.21,23.76,24.16,50250,0.009,,,
39-1021,First-Line Supervisors of Personal Service Workers,detail,228620,0.01,1.58,18.46,20.05,41710,0.004,,,
39-2000,Animal Care and Service Workers,minor,214680,0.013,1.483,11.51,12.76,26540,0.005,,,
39-2011,Animal Trainers,detail,14830,0.059,0.102,14.08,16.95,35260,0.02,,,
39-2021,Nonfarm Animal Caretakers,detail,199850,0.014,1.381,11.42,12.45,25890,0.004,,,
39-3000,Entertainment Attendants and Related Workers,minor,601890,0.02,4.159,10.66,11.56,24050,0.004,,,
39-3010,Gaming Services Workers,broad,113640,0.025,0.785,10.07,11.65,24240,0.011,,,
39-3011,Gaming Dealers,detail,92530,0.027,0.639,9.68,11.09,23070,0.013,,,
39-3012,Gaming and Sports Book Writers and Runners,detail,11150,0.079,0.077,11.74,13.29,27640,0.017,,,
39-3019,"Gaming Service Workers, All Other",detail,9950,0.042,0.069,13.24,15.03,31260,0.016,,,
39-3021,Motion Picture Projectionists,detail,4840,0.088,0.033,10.94,12.42,25820,0.022,,,
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detail,133970,0.025,0.926,10.7,11.35,23610,0.008,,,
39-3090,Miscellaneous Entertainment Attendants and Related Workers,broad,349440,0.03,2.414,10.78,11.61,24140,0.004,,,
39-3091,Amusement and Recreation Attendants,detail,319890,0.03,2.21,10.7,11.28,23460,0.004,,,
39-3092,Costume Attendants,detail,6460,0.129,0.045,19.8,22.12,46010,0.021,,,
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detail,17610,0.041,0.122,11.55,12.84,26720,0.011,,,
39-3099,"Entertainment Attendants and Related Workers, All Other",detail,5480,0.097,0.038,11.68,14.27,29690,0.034,,,
39-4000,Funeral Service Workers,minor,65150,0.018,0.45,16.3,19.77,41130,0.011,,,
39-4011,Embalmers,detail,4070,0.067,0.028,21.27,22.42,46640,0.019,,,
39-4021,Funeral Attendants,detail,35340,0.025,0.244,12.69,13.69,28480,0.009,,,
39-4031,"Morticians, Undertakers, and Funeral Directors",detail,25740,0.027,0.178,25.31,27.7,57620,0.016,,,
39-5000,Personal Appearance Workers,minor,575110,0.009,3.974,11.94,14.44,30040,0.006,,,
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",broad,397350,0.015,2.745,11.94,14.59,30340,0.007,,,
39-5011,Barbers,detail,20130,0.092,0.139,13.44,15.97,33220,0.031,,,
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detail,377210,0.015,2.606,11.89,14.51,30190,0.007,,,
39-5090,Miscellaneous Personal Appearance Workers,broad,177770,0.027,1.228,11.94,14.13,29380,0.01,,,
39-5091,"Makeup Artists, Theatrical and Performance",detail,3140,0.092,0.022,30.89,34.63,72030,0.055,,,
39-5092,Manicurists and Pedicurists,detail,110170,0.045,0.761,11.7,12.43,25860,0.008,,,
39-5093,Shampooers,detail,13720,0.057,0.095,10.4,10.65,22160,0.011,,,
39-5094,Skincare Specialists,detail,50740,0.036,0.351,15.05,17.48,36350,0.016,,,
39-6010,"Baggage Porters, Bellhops, and Concierges",broad,79840,0.022,0.552,12.91,14.46,30070,0.008,,,
39-6011,Baggage Porters and Bellhops,detail,42350,0.027,0.293,11.64,12.98,26990,0.009,,,
39-6012,Concierges,detail,37490,0.035,0.259,14.61,16.13,33550,0.012,,,
39-7010,Tour and Travel Guides,broad,49740,0.027,0.344,12.77,14.25,29630,0.008,,,
39-9000,Other Personal Care and Service Workers,minor,3605950,0.005,24.914,11.7,13.07,27190,0.003,,,
39-9011,Childcare Workers,detail,564630,0.012,3.901,11.17,11.83,24610,0.005,,,
39-9021,Personal Care Aides,detail,2211950,0.007,15.283,11.55,12.06,25090,0.004,,,
39-9030,Recreation and Fitness Workers,broad,662040,0.008,4.574,14.14,17.25,35890,0.006,,,
39-9031,Fitness Trainers and Aerobics Instructors,detail,308470,0.012,2.131,19.15,21.43,44580,0.007,,,
39-9032,Recreation Workers,detail,353570,0.01,2.443,12.05,13.61,28310,0.004,,,
39-9041,Residential Advisors,detail,108380,0.023,0.749,13.39,14.41,29970,0.005,,,
39-9099,"Personal Care and Service Workers, All Other",detail,58970,0.033,0.407,12.59,13.59,28270,0.01,,,
41-0000,Sales and Related Occupations,major,14542290,0.002,100.476,13.55,20.09,41790,0.002,,,
41-1010,First-Line Supervisors of Sales Workers,broad,1429100,0.004,9.874,20.84,24.97,51930,0.002,,,
41-1011,First-Line Supervisors of Retail Sales Workers,detail,1181530,0.005,8.163,19.05,21.67,45080,0.002,,,
41-1012,First-Line Supervisors of Non-Retail Sales Workers,detail,247570,0.009,1.71,35.29,40.67,84600,0.004,,,
41-2000,Retail Sales Workers,minor,8787270,0.003,60.714,11.33,12.75,26520,0.002,,,
41-2010,Cashiers,broad,3657570,0.006,25.271,10.79,11.19,23270,0.002,,,
41-2011,Cashiers,detail,3635550,0.006,25.119,10.78,11.17,23240,0.002,,,
41-2012,Gaming Change Persons and Booth Cashiers,detail,22020,0.043,0.152,11.96,13.09,27220,0.01,,,
41-2020,Counter and Rental Clerks and Parts Salespersons,broad,681580,0.008,4.709,13.68,15.52,32280,0.003,,,
41-2021,Counter and Rental Clerks,detail,426700,0.01,2.948,13.12,15,31200,0.004,,,
41-2022,Parts Salespersons,detail,254870,0.012,1.761,14.63,16.39,34080,0.005,,,
41-2031,Retail Salespersons,detail,4448120,0.005,30.733,11.63,13.61,28310,0.002,,,
41-3000,"Sales Representatives, Services",minor,2046120,0.005,14.137,26.13,34.37,71490,0.005,,,
41-3011,Advertising Sales Agents,detail,133110,0.026,0.92,24.87,30.46,63360,0.009,,,
41-3021,Insurance Sales Agents,detail,393830,0.011,2.721,24.33,32.64,67890,0.008,,,
41-3031,"Securities, Commodities, and Financial Services Sales Agents",detail,415890,0.01,2.873,30.83,47.49,98770,0.014,,,
41-3041,Travel Agents,detail,69480,0.024,0.48,18.61,20.54,42720,0.011,,,
41-3099,"Sales Representatives, Services, All Other",detail,1033820,0.008,7.143,26.23,31.18,64860,0.004,,,
41-4010,"Sales Representatives, Wholesale and Manufacturing",broad,1663160,0.006,11.491,29.64,35.43,73680,0.004,,,
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detail,312980,0.022,2.162,38.31,44.15,91830,0.009,,,
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detail,1350180,0.005,9.329,28.13,33.4,69480,0.003,,,
41-9000,Other Sales and Related Workers,minor,616650,0.012,4.261,17.17,24.7,51380,0.008,,,
41-9010,"Models, Demonstrators, and Product Promoters",broad,84560,0.039,0.584,13.85,15.96,33200,0.014,,,
41-9011,Demonstrators and Product Promoters,detail,81250,0.039,0.561,13.92,15.99,33260,0.014,,,
41-9012,Models,detail,3310,0.215,0.023,11.43,15.18,31570,0.066,,,
41-9020,Real Estate Brokers and Sales Agents,broad,197080,0.016,1.362,24.18,31.37,65240,0.012,,,
41-9021,Real Estate Brokers,detail,40320,0.033,0.279,27.99,37.95,78940,0.028,,,
41-9022,Real Estate Sales Agents,detail,156760,0.019,1.083,23.41,29.67,61720,0.012,,,
41-9031,Sales Engineers,detail,65720,0.025,0.454,48.76,52.22,108610,0.008,,,
41-9041,Telemarketers,detail,164160,0.031,1.134,12.14,13.72,28550,0.008,,,
41-9090,Miscellaneous Sales and Related Workers,broad,105120,0.018,0.726,15.6,19.19,39910,0.007,,,
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detail,9430,0.088,0.065,12.71,16.4,34120,0.035,,,
41-9099,"Sales and Related Workers, All Other",detail,95690,0.017,0.661,15.97,19.46,40480,0.007,,,
43-0000,Office and Administrative Support Occupations,major,21828990,0.002,150.822,17.19,18.75,38990,0.001,,,
43-1011,First-Line Supervisors of Office and Administrative Support Workers,detail,1477560,0.003,10.209,26.83,28.53,59340,0.001,,,
43-2000,Communications Equipment Operators,minor,78860,0.023,0.545,14.36,15.45,32140,0.007,,,
43-2011,"Switchboard Operators, Including Answering Service",detail,71600,0.025,0.495,14.14,15.04,31290,0.007,,,
43-2021,Telephone Operators,detail,5160,0.068,0.036,17.91,18.93,39360,0.022,,,
43-2099,"Communications Equipment Operators, All Other",detail,2100,0.067,0.015,19.74,20.87,43410,0.033,,,
43-3000,Financial Clerks,minor,2978640,0.003,20.58,18.02,19.07,39660,0.001,,,
43-3011,Bill and Account Collectors,detail,251330,0.015,1.737,17.32,18.38,38220,0.004,,,
43-3021,Billing and Posting Clerks,detail,469250,0.008,3.242,18.17,19,39520,0.002,,,
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detail,1530430,0.004,10.574,19.35,20.25,42110,0.001,,,
43-3041,Gaming Cage Workers,detail,16020,0.063,0.111,13.22,13.93,28980,0.008,,,
43-3051,Payroll and Timekeeping Clerks,detail,144030,0.009,0.995,21.66,22.17,46110,0.002,,,
43-3061,Procurement Clerks,detail,68100,0.015,0.471,20.51,20.76,43180,0.003,,,
43-3071,Tellers,detail,468470,0.008,3.237,14.16,14.49,30140,0.002,,,
43-3099,"Financial Clerks, All Other",detail,31010,0.058,0.214,19.72,21,43670,0.011,,,
43-4000,Information and Record Clerks,minor,5773540,0.003,39.891,15.91,17.19,35750,0.001,,,
43-4011,Brokerage Clerks,detail,55100,0.024,0.381,24.71,25.93,53940,0.006,,,
43-4021,Correspondence Clerks,detail,5460,0.041,0.038,17.93,18.75,38990,0.015,,,
43-4031,"Court, Municipal, and License Clerks",detail,142350,0.007,0.984,18.48,19.76,41100,0.006,,,
43-4041,"Credit Authorizers, Checkers, and Clerks",detail,29980,0.029,0.207,18.63,19.55,40670,0.006,,,
43-4051,Customer Service Representatives,detail,2871400,0.005,19.839,16.23,17.53,36470,0.002,,,
43-4061,"Eligibility Interviewers, Government Programs",detail,137830,0.036,0.952,22.12,22.34,46480,0.005,,,
43-4071,File Clerks,detail,110020,0.013,0.76,15.24,16.25,33810,0.004,,,
43-4081,"Hotel, Motel, and Resort Desk Clerks",detail,260780,0.009,1.802,11.39,12.08,25130,0.004,,,
43-4111,"Interviewers, Except Eligibility and Loan",detail,192820,0.013,1.332,16.38,17.08,35520,0.004,,,
43-4121,"Library Assistants, Clerical",detail,88970,0.013,0.615,12.74,13.92,28960,0.005,,,
43-4131,Loan Interviewers and Clerks,detail,222620,0.016,1.538,19.18,19.86,41310,0.004,,,
43-4141,New Accounts Clerks,detail,41500,0.031,0.287,17.21,17.79,37000,0.006,,,
43-4151,Order Clerks,detail,159210,0.03,1.1,16.09,17.21,35790,0.009,,,
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detail,124600,0.009,0.861,19.42,20.01,41620,0.002,,,
43-4171,Receptionists and Information Clerks,detail,1043630,0.005,7.211,14.01,14.59,30350,0.002,,,
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detail,132050,0.025,0.912,17.9,20.06,41730,0.01,,,
43-4199,"Information and Record Clerks, All Other",detail,155220,0.009,1.072,19.69,20.15,41900,0.003,,,
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",minor,4149140,0.004,28.667,15.45,17.28,35950,0.001,,,
43-5011,Cargo and Freight Agents,detail,92280,0.026,0.638,20.77,22.15,46070,0.008,,,
43-5021,Couriers and Messengers,detail,75720,0.026,0.523,13.81,14.72,30620,0.007,,,
43-5030,Dispatchers,broad,294900,0.01,2.038,19.17,20.7,43050,0.004,,,
43-5031,"Police, Fire, and Ambulance Dispatchers",detail,95020,0.009,0.657,19.55,20.81,43290,0.004,,,
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detail,199880,0.014,1.381,18.98,20.64,42940,0.006,,,
43-5041,"Meter Readers, Utilities",detail,33570,0.039,0.232,19.4,21.46,44640,0.011,,,
43-5050,Postal Service Workers,broad,525070,0,3.628,28.25,24.78,51540,0.002,,,
43-5051,Postal Service Clerks,detail,78830,0,0.545,26.58,24.45,50860,0.002,,,
43-5052,Postal Service Mail Carriers,detail,342410,0,2.366,26.54,24.89,51780,0.002,,,
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detail,103830,0,0.717,28.26,24.64,51250,0.004,,,
43-5061,"Production, Planning, and Expediting Clerks",detail,350150,0.008,2.419,22.88,24.05,50020,0.002,,,
43-5071,"Shipping, Receiving, and Traffic Clerks",detail,655590,0.007,4.53,15.88,16.82,34980,0.002,,,
43-5081,Stock Clerks and Order Fillers,detail,2056030,0.006,14.206,12.36,13.71,28520,0.002,,,
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detail,65830,0.021,0.455,15.53,16.39,34100,0.005,,,
43-6010,Secretaries and Administrative Assistants,broad,3498120,0.003,24.169,18.69,20.34,42320,0.002,,,
43-6011,Executive Secretaries and Executive Administrative Assistants,detail,570530,0.007,3.942,28.53,29.59,61550,0.002,,,
43-6012,Legal Secretaries,detail,176880,0.015,1.222,22.29,24.06,50040,0.008,,,
43-6013,Medical Secretaries,detail,585410,0.008,4.045,17.19,17.83,37090,0.003,,,
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detail,2165310,0.003,14.961,17.61,18.28,38030,0.002,,,
43-9000,Other Office and Administrative Support Workers,minor,3873130,0.004,26.76,16.16,17.28,35940,0.002,,,
43-9011,Computer Operators,detail,34700,0.028,0.24,22.04,22.47,46750,0.006,,,
43-9020,Data Entry and Information Processing Workers,broad,228060,0.012,1.576,16.24,17.05,35470,0.004,,,
43-9021,Data Entry Keyers,detail,174930,0.014,1.209,15.47,16.22,33740,0.003,,,
43-9022,Word Processors and Typists,detail,53130,0.029,0.367,19.11,19.79,41160,0.009,,,
43-9031,Desktop Publishers,detail,10740,0.041,0.074,20.63,22.47,46750,0.016,,,
43-9041,Insurance Claims and Policy Processing Clerks,detail,274560,0.019,1.897,19.07,20.26,42150,0.004,,,
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detail,86150,0.021,0.595,14.63,15.41,32040,0.005,,,
43-9061,"Office Clerks, General",detail,2972930,0.004,20.541,15.74,16.92,35200,0.002,,,
43-9071,"Office Machine Operators, Except Computer",detail,48580,0.031,0.336,15.76,16.6,34530,0.006,,,
43-9081,Proofreaders and Copy Markers,detail,9820,0.054,0.068,18.82,20.17,41950,0.019,,,
43-9111,Statistical Assistants,detail,11010,0.033,0.076,23.24,24.09,50110,0.014,,,
43-9199,"Office and Administrative Support Workers, All Other",detail,196570,0.013,1.358,16.76,18.02,37480,0.011,,,
45-0000,"Farming, Fishing, and Forestry Occupations",major,480130,0.013,3.317,12.2,14.49,30140,0.005,,,
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detail,21800,0.023,0.151,22.57,24.42,50790,0.008,,,
45-2000,Agricultural Workers,minor,411460,0.015,2.843,11.89,13.42,27910,0.005,,,
45-2011,Agricultural Inspectors,detail,13240,0.014,0.091,21.22,22.1,45970,0.005,,,
45-2021,Animal Breeders,detail,2160,0.104,0.015,17.82,20.71,43080,0.027,,,
45-2041,"Graders and Sorters, Agricultural Products",detail,38210,0.038,0.264,11.75,12.74,26510,0.027,,,
45-2090,Miscellaneous Agricultural Workers,broad,357850,0.016,2.472,11.83,13.12,27290,0.005,,,
45-2091,Agricultural Equipment Operators,detail,26060,0.042,0.18,14.99,15.68,32620,0.012,,,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detail,287420,0.02,1.986,11.69,12.72,26450,0.006,,,
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detail,37780,0.027,0.261,12.77,13.87,28840,0.009,,,
45-2099,"Agricultural Workers, All Other",detail,6600,0.086,0.046,14.18,16.51,34340,0.027,,,
45-4000,"Forest, Conservation, and Logging Workers",minor,44910,0.021,0.31,18.64,19.47,40500,0.009,,,
45-4011,Forest and Conservation Workers,detail,7510,0.055,0.052,13.2,15.06,31320,0.009,,,
45-4020,Logging Workers,broad,37400,0.023,0.258,19.54,20.36,42340,0.01,,,
45-4021,Fallers,detail,4680,0.084,0.032,21.19,23.33,48520,0.032,,,
45-4022,Logging Equipment Operators,detail,25730,0.029,0.178,19.48,20.12,41840,0.011,,,
45-4023,Log Graders and Scalers,detail,3330,0.06,0.023,18.38,18.78,39060,0.014,,,
45-4029,"Logging Workers, All Other",detail,3670,0.095,0.025,19.11,19.68,40940,0.031,,,
47-0000,Construction and Extraction Occupations,major,5962640,0.002,41.197,22.12,24.62,51220,0.002,,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detail,598210,0.005,4.133,31.36,33.91,70540,0.002,,,
47-2000,Construction Trades Workers,minor,4497490,0.003,31.074,21.54,23.97,49850,0.002,,,
47-2011,Boilermakers,detail,13870,0.049,0.096,29.88,30.41,63240,0.011,,,
47-2020,"Brickmasons, Blockmasons, and Stonemasons",broad,76240,0.022,0.527,23.78,25.39,52810,0.009,,,
47-2021,Brickmasons and Blockmasons,detail,63930,0.023,0.442,24.49,26.17,54430,0.01,,,
47-2022,Stonemasons,detail,12310,0.076,0.085,19.82,21.33,44370,0.024,,,
47-2031,Carpenters,detail,718730,0.008,4.966,22.4,24.58,51120,0.004,,,
47-2040,"Carpet, Floor, and Tile Installers and Finishers",broad,83740,0.023,0.579,19.63,21.79,45330,0.009,,,
47-2041,Carpet Installers,detail,26100,0.046,0.18,18.92,21.42,44550,0.019,,,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detail,14050,0.085,0.097,20.56,22.48,46760,0.022,,,
47-2043,Floor Sanders and Finishers,detail,4460,0.098,0.031,18.04,19.18,39890,0.028,,,
47-2044,Tile and Marble Setters,detail,39130,0.038,0.27,20.12,22.09,45950,0.013,,,
47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",broad,189130,0.016,1.307,20.67,22.76,47340,0.006,,,
47-2051,Cement Masons and Concrete Finishers,detail,186400,0.016,1.288,20.67,22.76,47350,0.006,,,
47-2053,Terrazzo Workers and Finishers,detail,2730,0.116,0.019,20.43,22.71,47230,0.041,,,
47-2061,Construction Laborers,detail,1001470,0.007,6.919,17.21,19.4,40350,0.003,,,
47-2070,Construction Equipment Operators,broad,433690,0.008,2.996,22.59,25.09,52190,0.003,,,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detail,46760,0.031,0.323,19.13,21.32,44360,0.011,,,
47-2072,Pile-Driver Operators,detail,3450,0.08,0.024,28.21,30.94,64360,0.026,,,
47-2073,Operating Engineers and Other Construction Equipment Operators,detail,383480,0.008,2.65,22.98,25.5,53030,0.003,,,
47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers",broad,120220,0.022,0.831,21.72,24.24,50420,0.011,,,
47-2081,Drywall and Ceiling Tile Installers,detail,101900,0.023,0.704,21.03,23.64,49170,0.012,,,
47-2082,Tapers,detail,18320,0.051,0.127,26.48,27.57,57340,0.014,,,
47-2111,Electricians,detail,655840,0.008,4.531,26.53,28.46,59190,0.005,,,
47-2121,Glaziers,detail,50940,0.036,0.352,20.94,23.38,48620,0.013,,,
47-2130,Insulation Workers,broad,56440,0.034,0.39,20.15,22.55,46910,0.012,,,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detail,31840,0.046,0.22,18.5,20.23,42070,0.012,,,
47-2132,"Insulation Workers, Mechanical",detail,24610,0.05,0.17,22.95,25.57,53180,0.017,,,
47-2140,Painters and Paperhangers,broad,231200,0.012,1.597,18.72,20.69,43030,0.007,,,
47-2141,"Painters, Construction and Maintenance",detail,228420,0.012,1.578,18.72,20.7,43050,0.007,,,
47-2142,Paperhangers,detail,2780,0.15,0.019,18.31,19.64,40840,0.044,,,
47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",broad,476140,0.011,3.29,25.33,27.39,56980,0.005,,,
47-2151,Pipelayers,detail,38070,0.03,0.263,18.54,20.91,43500,0.01,,,
47-2152,"Plumbers, Pipefitters, and Steamfitters",detail,438070,0.012,3.027,25.92,27.96,58150,0.006,,,
47-2161,Plasterers and Stucco Masons,detail,24870,0.051,0.172,20.93,22.89,47610,0.015,,,
47-2171,Reinforcing Iron and Rebar Workers,detail,18360,0.052,0.127,23.23,26.28,54670,0.023,,,
47-2181,Roofers,detail,128680,0.017,0.889,19.22,21.09,43870,0.009,,,
47-2211,Sheet Metal Workers,detail,131570,0.021,0.909,23.3,25.34,52710,0.01,,,
47-2221,Structural Iron and Steel Workers,detail,77410,0.028,0.535,25.95,27.97,58170,0.01,,,
47-2231,Solar Photovoltaic Installers,detail,8950,0.096,0.062,20.52,22.12,46010,0.021,,,
47-3010,"Helpers, Construction Trades",broad,233580,0.014,1.614,15,15.82,32900,0.004,,,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detail,24340,0.036,0.168,16.05,17.5,36390,0.013,,,
47-3012,Helpers--Carpenters,detail,33020,0.03,0.228,14.85,15.32,31850,0.008,,,
47-3013,Helpers--Electricians,detail,75970,0.026,0.525,15.1,15.84,32960,0.007,,,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detail,10600,0.07,0.073,14.4,15.25,31720,0.014,,,
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detail,54710,0.033,0.378,14.89,15.66,32570,0.008,,,
47-3016,Helpers--Roofers,detail,8630,0.074,0.06,14.61,15.26,31740,0.016,,,
47-3019,"Helpers, Construction Trades, All Other",detail,26320,0.036,0.182,14.67,15.56,32370,0.011,,,
47-4000,Other Construction and Related Workers,minor,422540,0.008,2.919,21.72,24.15,50240,0.004,,,
47-4011,Construction and Building Inspectors,detail,104090,0.013,0.719,28.7,30.36,63150,0.006,,,
47-4021,Elevator Installers and Repairers,detail,26830,0.047,0.185,38.36,38.16,79370,0.013,,,
47-4031,Fence Erectors,detail,23530,0.051,0.163,16.73,18.1,37650,0.015,,,
47-4041,Hazardous Materials Removal Workers,detail,44000,0.03,0.304,20.21,22.62,47050,0.011,,,
47-4051,Highway Maintenance Workers,detail,149260,0.008,1.031,19.08,19.92,41440,0.003,,,
47-4061,Rail-Track Laying and Maintenance Equipment Operators,detail,14410,0.049,0.1,27.37,27.46,57120,0.037,,,
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detail,27090,0.032,0.187,18.74,19.97,41530,0.009,,,
47-4090,Miscellaneous Construction and Related Workers,broad,33340,0.036,0.23,18.68,20.68,43000,0.016,,,
47-5000,Extraction Workers,minor,210820,0.018,1.457,21.34,22.96,47760,0.006,,,
47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining",broad,79030,0.028,0.546,23.36,25.46,52950,0.01,,,
47-5011,"Derrick Operators, Oil and Gas",detail,11310,0.071,0.078,22.17,22.9,47630,0.014,,,
47-5012,"Rotary Drill Operators, Oil and Gas",detail,18010,0.058,0.124,25.86,27.28,56740,0.017,,,
47-5013,"Service Unit Operators, Oil, Gas, and Mining",detail,49710,0.036,0.343,23.01,25.38,52780,0.014,,,
47-5021,"Earth Drillers, Except Oil and Gas",detail,18270,0.042,0.126,21.36,22.87,47570,0.011,,,
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",detail,5640,0.075,0.039,23.97,25.38,52780,0.019,,,
47-5040,Mining Machine Operators,broad,22910,0.052,0.158,25.34,25.53,53090,0.013,,,
47-5041,Continuous Mining Machine Operators,detail,14710,0.072,0.102,26.21,26.19,54470,0.014,,,
47-5042,Mine Cutting and Channeling Machine Operators,detail,4920,0.083,0.034,22.68,23.59,49080,0.032,,,
47-5049,"Mining Machine Operators, All Other",detail,3280,0.118,0.023,24.76,25.44,52920,0.027,,,
47-5051,"Rock Splitters, Quarry",detail,4870,0.084,0.034,16.71,17.19,35760,0.017,,,
47-5061,"Roof Bolters, Mining",detail,3250,0.064,0.022,28.2,28.41,59090,0.018,,,
47-5071,"Roustabouts, Oil and Gas",detail,54810,0.043,0.379,18.07,19.34,40220,0.009,,,
47-5081,Helpers--Extraction Workers,detail,15930,0.049,0.11,17.48,18.1,37660,0.011,,,
47-5099,"Extraction Workers, All Other",detail,6110,0.131,0.042,26.37,26.1,54300,0.024,,,
49-0000,"Installation, Maintenance, and Repair Occupations",major,5628880,0.003,38.891,21.89,23.54,48960,0.001,,,
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detail,471820,0.005,3.26,31.8,33.33,69320,0.002,,,
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",minor,583310,0.01,4.03,24.53,25.57,53190,0.004,,,
49-2011,"Computer, Automated Teller, and Office Machine Repairers",detail,102810,0.021,0.71,18.5,19.65,40880,0.006,,,
49-2020,Radio and Telecommunications Equipment Installers and Repairers,broad,243820,0.019,1.685,26.93,27.42,57030,0.006,,,
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detail,13930,0.064,0.096,26.39,27.09,56340,0.02,,,
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detail,229890,0.02,1.588,26.97,27.44,57080,0.006,,,
49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",broad,236690,0.013,1.635,25.27,26.23,54570,0.005,,,
49-2091,Avionics Technicians,detail,18860,0.033,0.13,30.84,31.41,65330,0.015,,,
49-2092,"Electric Motor, Power Tool, and Related Repairers",detail,15800,0.049,0.109,20.6,22,45770,0.017,,,
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detail,11680,0.055,0.081,29.01,29.55,61460,0.013,,,
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detail,59520,0.021,0.411,27.94,28.47,59210,0.005,,,
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detail,22980,0.027,0.159,38.56,38.48,80040,0.007,,,
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detail,10880,0.083,0.075,17.11,17.67,36750,0.021,,,
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,detail,26070,0.051,0.18,18.35,19.13,39800,0.015,,,
49-2098,Security and Fire Alarm Systems Installers,detail,70900,0.026,0.49,22.69,23.34,48540,0.007,,,
